episode,total_reward
1694,-105.0
1695,-56.0
1696,-24.0
1697,-44.0
1698,-194.0
1699,-148.0
1700,-86.0
1701,-72.0
1702,-51.0
1703,-37.0
1704,-131.0
1705,-102.0
1706,-143.0
1707,-35.0
1708,-111.0
1709,-38.0
1710,-59.0
1711,-171.0
1712,-60.0
1713,-20.0
1714,-57.0
1715,-120.0
1716,-20.0
1717,-105.0
1718,-195.0
1719,-43.0
1720,-70.0
1721,-111.0
1722,-146.0
1723,-95.0
1724,-85.0
1725,-152.0
1726,-53.0
1727,-40.0
1728,-48.0
1729,-71.0
1730,-156.0
1731,-38.0
1732,-13.0
1733,-93.0
1734,-8.0
1735,-114.0
1736,-92.0
1737,-58.0
1738,-139.0
1739,-21.0
1740,-121.0
1741,-90.0
1742,-66.0
1743,-199.0
1744,-113.0
1745,2.0
1746,-45.0
1747,-2.0
1748,-38.0
1749,-81.0
1750,-32.0
1751,-60.0
1752,-132.0
1753,-109.0
1754,-92.0
1755,-37.0
1756,-69.0
1757,-222.0
1758,-49.0
1759,-58.0
1760,-175.0
1761,-40.0
1762,-26.0
1763,-77.0
1764,-47.0
1765,-76.0
1766,-67.0
1767,-46.0
1768,-103.0
1769,-74.0
1770,-98.0
1771,-27.0
1772,-152.0
1773,-106.0
1774,-71.0
1775,-79.0
1776,-124.0
1777,-88.0
1778,-38.0
1779,-94.0
1780,-63.0
1781,-122.0
1782,-21.0
1783,-124.0
1784,-108.0
1785,-45.0
1786,-96.0
1787,-54.0
1788,-130.0
1789,-47.0
1790,-15.0
1791,-27.0
1792,-85.0
1793,-90.0
1794,-99.0
1795,-21.0
1796,-45.0
1797,-28.0
1798,-38.0
1799,-107.0
1800,-41.0
1801,-71.0
1802,-30.0
1803,-30.0
1804,-111.0
1805,-34.0
1806,-40.0
1807,-94.0
1808,-167.0
1809,-111.0
1810,-83.0
1811,-90.0
1812,-103.0
1813,-29.0
1814,-38.0
1815,-43.0
1816,-34.0
1817,-56.0
1818,-216.0
1819,-54.0
1820,-5.0
1821,-19.0
1822,-90.0
1823,-86.0
1824,-81.0
1825,-62.0
1826,-232.0
1827,-86.0
1828,-64.0
1829,-131.0
1830,-64.0
1831,-59.0
1832,-74.0
1833,-25.0
1834,-148.0
1835,-44.0
1836,-83.0
1837,-150.0
1838,-107.0
1839,-48.0
1840,-69.0
1841,-15.0
1842,-129.0
1843,-88.0
1844,-52.0
1845,-146.0
1846,-34.0
1847,-66.0
1848,-40.0
1849,-1.0
1850,-84.0
1851,-76.0
1852,-158.0
1853,-125.0
1854,-8.0
1855,-76.0
1856,-161.0
1857,-90.0
1858,-34.0
1859,-160.0
1860,-71.0
